medicine_id,name,category,supplier_id,cost_price,unit_price,stock_qty,expiry_date,manufacture_date,batch_number,reorder_level
MED001,Paracetamol,Pain Relief,SUP001,2.5,5,500,31-12-2024,15-01-2023,BT12345,100
MED002,Amoxicillin,Antibiotic,SUP002,5,10,300,30-06-2024,20-02-2023,BT23456,50
MED003,Omeprazole,Antacid,SUP003,4,8,400,31-03-2025,10-03-2023,BT34567,75
MED004,Loratadine,Antihistamine,SUP001,3,6,350,30-09-2024,25-01-2023,BT45678,60
MED005,Metformin,Antidiabetic,SUP002,3.5,7,250,31-08-2024,15-02-2023,BT56789,40
MED006,Atorvastatin,Cholesterol,SUP003,6,12,200,31-07-2024,05-03-2023,BT67890,35
MED007,Salbutamol,Bronchodilator,SUP001,4.5,9,180,30-11-2024,30-01-2023,BT78901,30
MED008,Amlodipine,Antihypertensive,SUP002,5.5,11,220,31-10-2024,25-02-2023,BT89012,40
MED009,Diazepam,Sedative,SUP003,7,14,150,31-05-2024,15-03-2023,BT90123,25
MED010,Insulin,Antidiabetic,SUP001,15,30,100,30-04-2024,20-01-2023,BT01234,20
MED011,Ibuprofen,Pain Relief,SUP002,3,6,450,31-01-2025,10-02-2023,BT12345,90
MED012,Cetirizine,Antihistamine,SUP003,2.5,5,380,31-08-2024,20-03-2023,BT23456,70
MED013,Ceftriaxone,Antibiotic,SUP001,8,16,120,31-03-2024,10-01-2023,BT34567,20
MED014,Simvastatin,Cholesterol,SUP002,5.5,11,180,28-02-2025,05-02-2023,BT45678,30
MED015,Ranitidine,Antacid,SUP003,4,8,250,30-06-2024,25-03-2023,BT56789,45
